Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount,Amount_numeric,Tag,Reason,Environmental_Subgroup,Combined_Tag,Fix_Applied,UserFix_Applied,Clinical_Subcategory,Mechanistic_Subcategory
Amyotrophic Lateral Sclerosis (ALS),10741808,2024,NIGMS,5R01GM137529-04,,"Impact of ALS-linked mutations on the structure, dynamics and function of profilin-1","MASSI, FRANCESCA",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,521114,521114.0,Mechanistic_Pathogenesis,"Studies impact on structure, dynamics and FUNCTION of profilin-1 (mechanism)",,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10741809,2024,NINDS,5R01NS122533-04,,A Chemical Footprinting Approach towards Poly-ADP-Ribosylation-regulated Biomolecular Condensation,"YU, YONGHAO",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,398913,398913.0,Mechanistic_Pathogenesis,Studies Poly-ADP-Ribosylation-regulated biomolecular condensation mechanisms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10744950,2024,NINDS,2R01NS110098-06,,Investigating Dysregulation of Stress-related Ribonucleoprotein Granules and Functions of Associated RNA-binding Proteins in ALS/FTD,"WANG, JIOU",JOHNS HOPKINS UNIVERSITY,MD,634358,634358.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10745304,2024,NINDS,5R01NS120477-04,,Raloxifene-Based Therapy in Neuro Degenerative Diseases,"GERMAIN, DORIS",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,356247,356247.0,Strictly_Genetic,Mentions genes/variants/genome without mechanistic terms or exposures,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10745346,2024,NIA,5R01AG077771-02,,Nuclear import receptors as modifiers of TDP-43 phase transition and toxicity in FTD/ALS,"ROSSOLL, WILFRIED",MAYO CLINIC  JACKSONVILLE,FL,693758,693758.0,Mechanistic_Pathogenesis,Studies nuclear import receptors as modifiers of TDP-43 phase transition (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10745922,2024,NIA,5R01AG079898-02,,Effects of TDP-43 Proteinopathy on Retrotransposon Activation and Cell-Type Specific Vulnerability in a Mammalian Model of Alzheimer's and Related Dementias,"SHER, ROGER",STATE UNIVERSITY NEW YORK STONY BROOK,NY,536013,536013.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10747395,2024,NIA,5R01NS113943-05,,Atypical TDP43 isoforrms driving neurodegeneration in FTD/ALS,"BARMADA, SAMI",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,48750,48750.0,Mechanistic_Pathogenesis,Studies how TDP43 isoforms DRIVE neurodegeneration (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10747395,2024,NINDS,5R01NS113943-05,,Atypical TDP43 isoforrms driving neurodegeneration in FTD/ALS,"BARMADA, SAMI",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,341250,341250.0,Mechanistic_Pathogenesis,Studies how TDP43 isoforms DRIVE neurodegeneration (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10747401,2024,NINDS,5F32NS124841-03,,Retrograde transmission of pathogenic TDP-43 to the CNS,"LYNCH, EILEEN",WASHINGTON UNIVERSITY,MO,75893,75893.0,Mechanistic_Pathogenesis,Studies retrograde transmission of pathogenic TDP-43 (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10747852,2024,NINDS,5R01NS116262-04,,Intermuscular coherence: A novel biomarker for upper motor neuron dysfunction in ALS,"REZANIA, KOUROSH",UNIVERSITY OF CHICAGO,IL,580434,580434.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10747854,2024,NINDS,5U01NS122102-03,,Optimization of an in vivo base editing strategy to treat SOD1-linked ALS,"GAJ, THOMAS",UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,IL,1093040,1093040.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10747881,2024,NINDS,5R35NS097275-08,,Molecular Genetic Insight into Neurodegenerative Disease from Drosophila,"BONINI, NANCY",UNIVERSITY OF PENNSYLVANIA,PA,760833,760833.0,Mechanistic_Pathogenesis,Studies molecular genetic insight via Drosophila models (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10747966,2024,NINDS,5R01NS119812-04,,SARM1 functional polymorphisms and their contribution to ALS risk,"BLOOM, ADAM",WASHINGTON UNIVERSITY,MO,578847,578847.0,Strictly_Genetic,Studies genetic polymorphisms and their contribution to ALS risk,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10747981,2024,NIA,5R03AG080175-02,,Bacterial triggers of neural inflammation.,"BURBERRY, AARON",CASE WESTERN RESERVE UNIVERSITY,OH,161000,161000.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10748384,2024,NIGMS,5F31GM140622-03,,Engineering and evolving substrate-specific Hsp104 variants,"RYAN, JEREMY",WASHINGTON UNIVERSITY,MO,32487,32487.0,Mechanistic_Pathogenesis,Engineering and evolving Hsp104 variants - protein engineering (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10749900,2024,NINDS,5R37NS057553-18,,Investigating Pathogenic Mechanisms of Frontotemporal Dementia Caused by Mutations in CHMP2B and TBK1,"GAO, FEN-BIAO",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,634466,634466.0,Mechanistic_Pathogenesis,"Investigating PATHOGENIC MECHANISMS of FTD (mechanism, not genetic risk)",,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10754267,2024,NINDS,5R35NS097263-08,,Innovating Yeast and Human Genetics Approaches to Define Mechanisms of Neurodegenerative Disease,"GITLER, AARON",STANFORD UNIVERSITY,CA,1085210,1085210.0,Mechanistic_Pathogenesis,Define MECHANISMS of neurodegenerative disease (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10755677,2024,NINDS,5R01NS115951-04,,Role of the Intestinal Microbiota in ALS,"WEINER, HOWARD",BRIGHAM AND WOMEN'S HOSPITAL,MA,669479,669479.0,Strictly_Environmental_or_Gene-Environment,"Contains environmental exposure keywords including lifestyle, diet, or pollutants",Microbiome,Strictly_Environmental_or_Gene-Environment,,,,
Amyotrophic Lateral Sclerosis (ALS),10755714,2024,NINDS,5R01NS092788-08,,Modeling the progression of SOD1-linked motor neuron disease,"BORCHELT, DAVID",UNIVERSITY OF FLORIDA,FL,395361,395361.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10756504,2024,NINDS,5R01NS123023-03,,Pathogenesis and motor neuron degeneration of a novel disease associated with a P158A mutation in NAMPT,"DING, SHINGHUA",UNIVERSITY OF MISSOURI-COLUMBIA,MO,440488,440488.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10758000,2024,NIA,4R01AG071326-02,,Defining the Role of Poly ADP-ribose in Biomolecular Condensation in ALS and FTLD,"MYONG, SUA",BOSTON CHILDREN'S HOSPITAL,MA,654638,654638.0,Mechanistic_Pathogenesis,Studies role of Poly ADP-ribose in biomolecular condensation (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10758190,2024,NIA,5F30AG077858-02,,Characterizing Vulnerable Cell Types in C9orf72-FTD,"DAI, DAVID",UNIVERSITY OF PENNSYLVANIA,PA,53974,53974.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10758239,2024,NINDS,5R01NS121114-04,,Understanding the sequence and structural determinants of phase behavior of ALS-causing proteins,"MITTAG, TANJA",ST. JUDE CHILDREN'S RESEARCH HOSPITAL,TN,605252,605252.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10758550,2024,NIA,5R21AG080393-02,,Delineating the role of Matrin-3 in driving aberrant liquid-liquid phase separation that underpins ALS/FTD,"JACKREL, MEREDITH",WASHINGTON UNIVERSITY,MO,233250,233250.0,Mechanistic_Pathogenesis,Studies role of Matrin-3 in liquid-liquid phase separation (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10760320,2024,NIA,5R01AG067151-04,,Single-Cell Transcriptional and Epigenomic Dissection to Identify Therapeutic Targets for ALS and FTD,"KELLIS, MANOLIS",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,725002,725002.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10762984,2024,NIA,5R01AG076154-03,,Investigation of the role of ATXN1 in oligodendroglia and neurodegenerative diseases,"LIM, JANGHOO",YALE UNIVERSITY,CT,698909,698909.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10764792,2024,NHLBI,5K23HL151879-04,,Early Respiratory Care in Amyotrophic Lateral Sclerosis Patients at High Risk for Respiratory Failure,"ACKRIVO, JASON",UNIVERSITY OF PENNSYLVANIA,PA,195594,195594.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10765609,2024,NINDS,5R01NS114510-05,,Genetic Control of Phrenic Motor Neuron Development and Maintenance,"PHILIPPIDOU, POLYXENI",CASE WESTERN RESERVE UNIVERSITY,OH,333915,333915.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10765698,2024,NINDS,5R21NS131713-02,,Defining the Mechanisms by Which Mutations in DNAJC7 Increase Susceptibility to ALS/FTD,"KISKINIS, EVANGELOS",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,189915,189915.0,Mechanistic_Pathogenesis,Defining the MECHANISMS by which mutations cause susceptibility (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10771129,2024,NINDS,5UG3NS125487-02,,DIrectional and SCalable (DISC) Microelectrode Array for Speech Decoding,"SEYMOUR, JOHN",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,TX,1670599,1670599.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10771178,2024,NINDS,5R01NS116350-05,,Spatially Resolved Dynamics of Molecular Pathology and Intercellular Interactions in Amytrophic Lateral Sclerosis,"PHATNANI, HEMALI",NEW YORK GENOME CENTER,NY,526777,526777.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10771507,2024,NIGMS,1P20GM152335-01,8022,Investigation of Superoxide Dismutase I in Parkinson's Disease,"LEAVENS, MOSES",MC LAUGHLIN RESEARCH INSTITUTE,MT,360000,360000.0,Mechanistic_Pathogenesis,Studies Superoxide Dismutase I mechanism,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10772170,2024,NINDS,5R21NS131756-02,,Role of Sarm1 in TBI-accentuated C9orf72 Frontotemporal Dementia,"HENNINGER, NILS",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,209375,209375.0,Mechanistic_Pathogenesis,Studies role of Sarm1 in neurodegeneration (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10772994,2024,NINDS,5R01NS125490-03,,Dysfunctional Astroglial Exosome to (motor) Neuron Axon Signaling in ALS,"YANG, YONGJIE",TUFTS UNIVERSITY BOSTON,MA,410414,410414.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10778544,2024,NIA,5R01NS124802-03,,Defining mechanisms underlying C9orf72-associated frontotemporal dementia with C. elegans and mammalian models,"KALB, ROBERT",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,128940,128940.0,Mechanistic_Pathogenesis,Studies mechanisms underlying C9orf72-associated FTD,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10778544,2024,NINDS,5R01NS124802-03,,Defining mechanisms underlying C9orf72-associated frontotemporal dementia with C. elegans and mammalian models,"KALB, ROBERT",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,607857,607857.0,Mechanistic_Pathogenesis,Studies mechanisms underlying C9orf72-associated FTD,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10783060,2024,NINDS,5R01NS120926-04,,Creating a foundation for personalized age- and sex-based immune-targeted therapies from an ALS longitudinal cohort by identifying peripheral and central immune signatures,"GOUTMAN, STEPHEN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,568145,568145.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10783344,2024,NINDS,1U01NS134684-01,,Silence ALS: A Platform for the Discovery and Development of Antisense Therapeutics for Patients with Ultra-Rare Forms of ALS,"SHNEIDER, NEIL",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,5159965,5159965.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10783697,2024,NIA,5F30AG072766-03,,Clinicopathologic correlates of cognitive impairment in amyotrophic lateral sclerosis and frontotemporal dementia spectrum disorders (ALS-FTD),"PETRESCU, JOANA",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,53974,53974.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10783720,2024,NIA,5F30AG076323-03,,Understanding and Manipulating the Degradation of the C9orf72 Repeat Expansion RNA,"SHEHATA, SORAYA",UNIVERSITY OF COLORADO,CO,41740,41740.0,Mechanistic_Pathogenesis,Studies degradation mechanisms of C9orf72 repeat expansion RNA,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10783768,2024,NIGMS,5R35GM136229-05,,Yeast as a gateway to conquering protein misfolding diseases.,"LIEBMAN, SUSAN",UNIVERSITY OF NEVADA RENO,NV,358777,358777.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10784591,2024,NINDS,5R01NS091836-08,,Mechanisms Underlying Excitability Regulation of Motoneuron Types in ALS,"ELBASIOUNY, SHERIF",WRIGHT STATE UNIVERSITY,OH,520667,520667.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10789852,2024,NIA,5R01NS114289-05,,Role of oligomeric TDP-43 aggregate intermediates in ALS and frontotemporal dementia,"AYALA, YUNA",SAINT LOUIS UNIVERSITY,MO,22725,22725.0,Mechanistic_Pathogenesis,Studies role of TDP-43 aggregate intermediates (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10789852,2024,NINDS,5R01NS114289-05,,Role of oligomeric TDP-43 aggregate intermediates in ALS and frontotemporal dementia,"AYALA, YUNA",SAINT LOUIS UNIVERSITY,MO,356025,356025.0,Mechanistic_Pathogenesis,Studies role of TDP-43 aggregate intermediates (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10791826,2024,NIA,5R01NS082265-10,,TMEM106B in neurodegenerative disease,"CHEN-PLOTKIN, ALICE",UNIVERSITY OF PENNSYLVANIA,PA,104628,104628.0,Strictly_Genetic,Mentions genes/variants/genome without mechanistic terms or exposures,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10791826,2024,NINDS,5R01NS082265-10,,TMEM106B in neurodegenerative disease,"CHEN-PLOTKIN, ALICE",UNIVERSITY OF PENNSYLVANIA,PA,493236,493236.0,Strictly_Genetic,Mentions genes/variants/genome without mechanistic terms or exposures,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10793500,2024,NIA,5R01NS074324-14,,Mechanisms of Novel Regulators of Proteotoxicity and Quality Control Associated with ALS/FTD,"WANG, JIOU",JOHNS HOPKINS UNIVERSITY,MD,92912,92912.0,Mechanistic_Pathogenesis,Studies MECHANISMS of novel regulators of proteotoxicity (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10793500,2024,NINDS,5R01NS074324-14,,Mechanisms of Novel Regulators of Proteotoxicity and Quality Control Associated with ALS/FTD,"WANG, JIOU",JOHNS HOPKINS UNIVERSITY,MD,438015,438015.0,Mechanistic_Pathogenesis,Studies MECHANISMS of novel regulators of proteotoxicity (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10795708,2024,NIA,4R01NS120992-02,,Stathmin-2 and TDP-43 neurodegeneration in Alzheimer’s and multi-etiology dementias,"JOSEPHS, KEITH",MAYO CLINIC ROCHESTER,MN,791205,791205.0,Strictly_Genetic,Mentions genes/variants/genome without mechanistic terms or exposures,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10795714,2024,NIA,4R01NS121143-02,,Developing RNA Oligonucleotides to Mitigate Abberant FUS Phase Transition in FTD/ALS,"GUO, LIN",THOMAS JEFFERSON UNIVERSITY,PA,390000,390000.0,Mechanistic_Pathogenesis,Studies FUS phase transition mechanisms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10795741,2024,NIA,4R01NS124203-02,,In vivo modelling and therapy development for stathmin-2 loss in TDP-43 proteinopathies,"LAGIER-TOURENNE, CLOTILDE",MASSACHUSETTS GENERAL HOSPITAL,MA,824437,824437.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10800701,2024,NINDS,5K23NS123369-03,,Improving Shared Decision-Making Surrounding Dysphagia Management for Persons Diagnosed with Amyotrophic Lateral Sclerosis,"PERRY, BRIDGET",MGH INSTITUTE OF HEALTH PROFESSIONS,MA,173343,173343.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10802202,2024,NINDS,5R01NS123556-03,,Development of a CRISPR-Cas13 Gene Therapy for SOD1-Linked ALS,"GAJ, THOMAS",UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,IL,356539,356539.0,Strictly_Genetic,Mentions genes/variants/genome without mechanistic terms or exposures,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10804400,2024,NIA,1R01AG085307-01,,Double-stranded RNA in neuronal cell death in Alzheimer's and related neurodegenerative diseases,"LINK, CHRISTOPHER",UNIVERSITY OF COLORADO,CO,768931,768931.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10804460,2024,NINDS,1R01NS126499-01A1,,Generation and analysis of mouse models to define the roles of the ALS-associated factor Zfp106/ZNF106 in neurodegeneration,"BLACK, BRIAN","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,420917,420917.0,Mechanistic_Pathogenesis,Studies roles of ALS-associated factor in neurodegeneration (function),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10804946,2024,NIA,1R01AG085316-01,,Identifying T cell determinants of heritable Frontotemporal dementia,"BURBERRY, AARON",CASE WESTERN RESERVE UNIVERSITY,OH,604649,604649.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10805393,2024,NIA,5R01NS116176-05,,Functional and Pathological Interactions of TDP-43,"FAWZI, NICOLAS",BROWN UNIVERSITY,RI,116110,116110.0,Mechanistic_Pathogenesis,Studies functional and pathological interactions of TDP-43,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10805393,2024,NINDS,5R01NS116176-05,,Functional and Pathological Interactions of TDP-43,"FAWZI, NICOLAS",BROWN UNIVERSITY,RI,547387,547387.0,Mechanistic_Pathogenesis,Studies functional and pathological interactions of TDP-43,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10807421,2024,NIA,1R21AG080666-01A1,,The Role of Cyclin C in mediating neurodegenerative proteinopathies,"COOPER, KATRINA",ROWAN UNIVERSITY SCHOOL/OSTEOPATHIC MED,NJ,223200,223200.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10809801,2024,NINDS,4R00NS121511-03,,Elucidating the role of RNA oxidation on amyotrophic lateral sclerosis onset and progression,"CHAIM, ISAAC","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,290319,290319.0,Mechanistic_Pathogenesis,Studies role of RNA oxidation in ALS (mechanism),,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10811000,2024,NICHD,1R03HD111884-01A1,,A structurally suitable neck exoskeleton for amyotrophic lateral sclerosis,"ZHANG, HAOHAN",UNIVERSITY OF UTAH,UT,148449,148449.0,Everything_else,"Clinical, intervention, care, or other unspecified project",,Everything_else,,,,
Amyotrophic Lateral Sclerosis (ALS),10812454,2024,NINDS,5R21NS127028-02,,Regulation of paraspeckles by STAU1 in neurodegenerative disease,"SCOLES, DANIEL",UNIVERSITY OF UTAH,UT,231000,231000.0,Mechanistic_Pathogenesis,Includes mechanistic molecular/cellular or immune pathway terms,,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10812474,2024,NIA,5R01NS121604-04,,"TDP-43 acetylation, phase separation, aggregation, and clearance by antibody-mediated degradation","CLEVELAND, DON","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,132081,132081.0,Mechanistic_Pathogenesis,"Studies TDP-43 acetylation, phase separation, aggregation mechanisms",,Mechanistic_and_Genetic,,,,
Amyotrophic Lateral Sclerosis (ALS),10812474,2024,NINDS,5R01NS121604-04,,"TDP-43 acetylation, phase separation, aggregation, and clearance by antibody-mediated degradation","CLEVELAND, DON","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,622657,622657.0,Mechanistic_Pathogenesis,"Studies TDP-43 acetylation, phase separation, aggregation mechanisms",,Mechanistic_and_Genetic,,,,
