id,category,confidence,method,directorate,title,abstract
2146512,ENV,0.95,haiku,BIO,"CAREER: Prevalence, magnitude, and importance of gut microbial detoxification services in insect herbivory","This award is funded in whole or in part under the American Rescue Plan Act of 2021 (Public Law 117-2).

Insects eat plants. This is both a basic process in nature and a major problem in agriculture, resulting in crop losses and costly pesticide treatments. Plants defend themselves by producing na"
2142825,ENV,0.95,haiku,MPS,CAREER: Reactions of Volatile Organics in Aerosol Articles as a Source of Persistent Free Radicals,"This award is funded in whole or in part under the American Rescue Plan Act of 2021 (Public Law 117-2).

WIth support from the Environmental Chemical Sciences Program in the Division of Chemistry, Eric P. Vejerano at the University of South Carolina will study the formation of environmentally pers"
2236138,ENV,0.95,haiku,ENG,CAREER: Single-Atom Alloy Catalyst Design for the Electrocatalytic Reduction of Nitrate to Ammonia: Linking Electronic Structure to Geometry and Catalytic Performance,"Nitrate (NO3−) is among the most ubiquitous groundwater pollutants in the world and a serious threat to human and ecosystem health. Thus, there is a compelling need to manage nitrate waste across industry, food, and water systems. The electrocatalytic nitrate reduction reaction (NO3RR) is a promisin"
2143710,ENV,0.95,haiku,ENG,CAREER: Single-Atom Alloy Nanocrystals for Catalyzing Sustainable Nitrogen Cycling,"The industrial production of fertilizer – produced from ammonia (NH3) generated by the energy-intensive, fossil fuel-dependent Haber-Bosch (H-B) process - has disrupted the natural nitrogen cycle, resulting in groundwater pollution from nitrates (NO3-). The project utilizes electrochemistry to react"
2154345,ENV,0.95,haiku,ENG,CAREER: SusChEM: Renewable Biocatalysts for Degradation of Persistent Organic Contaminants Using Synthetic Biology,"PI: Wei
Proposal Number: 1653679


This project focuses on renewable biocatalysts for the efficient degradation of persistent organic contaminants in water. Surface-display enzyme biocatalysts are a new class of biocatalysts that have recently been shown to have high catalytic efficiency and hig"
2146422,ENV,0.9,keyword,ENG,CAREER: Systematic Design of Polymers to Reveal the Anomalous Role of Fluorine on Membrane-based Separations,"Polymer membranes would potentially benefit many sectors of the U.S. economy, including manufacturing, chemicals production, healthcare, and defense, by removing contaminants from various process streams. However, the materials needed to make these membranes lack the efficiency, productivity, and st"
2340818,ENV,0.7,keyword,ENG,CAREER: Systems Microbiology and InterdiscipLinary Education for Halting Environmental Antibiotic Resistance Transmission (SMILE HEART),"Bacterial antibiotic resistance (AR) infections are among the top 10 threats to global public health. In the United States alone, more than 2.8 million bacterial AR infections are reported each year, causing at least 35,000 deaths and approximately $55 billion in economic losses. Bacterial AR has an"
2143301,ENV,0.95,haiku,ENG,CAREER: Targeted Catalytic Reduction of Persistent Organohalogens in Wastewater using a Novel V2C MXene-Imprinted Polymer Composite,"This award is funded in whole or in part under the American Rescue Plan Act of 2021 (Public Law 117-2).

Organohalogens such as polychlorinated biphenyls (PCBs) and per- and polyfluoroalkyl substances (PFAS) pose significant environmental and human health risks due to their toxicity, chemical stab"
2241045,ENV,0.95,haiku,ENG,CAREER: The Impact of Extracellular Polymeric Substances on Particle Transport in Aquatic Environments,"Predicting and managing the transport of particles in aquatic environments are critical components of strategies to treat drinking and wastewater, to monitor sediment movement, to predict pollutant transport, and to understand effects of the global ocean carbon cycle on climate change. The transport"
2442531,ENV,0.9,keyword,BIO,CAREER: The Plastisphere of Pond Ecosystems: Understanding the function and fate of novel carbon in biogeochemical hotspots,"Plastics represent a form of novel carbon, solid waste, and debris. Most plastics travel through freshwater environments to the ocean, making ponds an important place to study the impact of this novel carbon source. Ponds are widespread across various landscapes and provide many important services. "
2145537,ENV,0.95,haiku,ENG,CAREER: Toward Geomimetic Concretes,"Inspired by the exotic chemical reactions in earth’s crust, this award focuses on the fundamental understanding of the chemical reactions at the fluid-solid interfaces and leverages this basic insight to design carbon-negative geomimetic concrete materials. The production of ordinary Portland cement"
2338480,ENV,0.9,keyword,ENG,CAREER: Transformation potential of per- and polyfluoroalkyl substances (PFAS) in drinking water distribution systems,"Per- and polyfluoroalkyl substances (PFAS) are fluorinated organic chemical contaminants that are commonly referred to as forever chemicals due to their persistence, stability, and resistance to natural environmental degradation processes. During the last two decades, PFAS have been increasingly det"
2143243,ENV,0.95,haiku,GEO,CAREER: Uncovering the Geochemical and Biomineralization Processes Responsible for Mercury-Selenium Antagonism in the Environment,The investigator and his research group at the University of California Davis will study how interactions between mercury and selenium influence the cycling and bioaccumulation of mercury in the environment. Mercury is a prevalent global contaminant that impacts both environmental and human health w
2432184,ENV,0.9,keyword,MPS,CAREER: Understanding Molecular Mechanisms Underlying Chemical Behavior of Pollutants in Heterogeneous Environmental Systems,"With support from the Environmental Chemical Sciences Program and the Chemical Measurement and Imaging Program in the Division of Chemistry, Emanuela Gionfriddo at the University of Toledo and her team will study the partitioning of organic pollutants in multi-phase environmental systems. Organic po"
2237947,ENV,0.95,haiku,ENG,CAREER: Unlocking Recalcitrant Carbon to Enhance Denitrification of Nonpoint Source Nitrogen in Woodchip Bioreactors,"Nonpoint sources of nitrogen (N) such as nitrate from agricultural and stormwater runoff are among the most intractable drivers of pollution and water quality impairments in the United States, contributing to eutrophication, harmful algal blooms, and hypoxia, which adversely impact the ecological he"
2237015,ENV,0.95,haiku,GEO,CAREER: Unraveling the Role of Thin Water Films in Controlling Subsurface Transport of Surface-Active Contaminants across Scales,"Human-made chemicals in the environment can flow through soils to contaminate groundwater that is critical to daily life and the Nation’s prosperity. In the ground, many such contaminants are active at surfaces of solid particles and the interfaces between air and water. Because of this surface-acti"
2143449,ENV,0.95,haiku,BIO,CAREER: Why Are Ponds Biogeochemical Hotspots? Examining How Ecosystem Structure and Function Scale with Waterbody Size,"This award is funded in whole or in part under the American Rescue Plan Act of 2021 (Public Law 117-2).

Ponds are small, shallow, and globally abundant waterbodies that provide important ecosystem services: ponds cycle nutrients, filter contaminants, promote high biodiversity, and regulate carbon"
2202621,ENV,0.95,haiku,MPS,CAS-MNP: Assessing the Controls of Plastic Photochemical Reactivity in the Surface Ocean,"With support from the Environmental Chemical Sciences Program in the Division of Chemistry at NSF, Collin Ward and Taylor Nelson at the Woods Hole Oceanographic Institution (WHOI) will study the fate of plastics in the sunlit surface ocean. Despite sustained attention from stakeholders, the ultimate"
2403397,ENV,0.9,keyword,ENG,CAS-MNP: Biophysical Mechanism of Interactions between Micro/Nanoplastics and the Natural Pulmonary Surfactant,"Micro/nanoplastics, tiny plastic debris arising from the environmental breakdown of plastic products, are not biodegradable and can take decades or even centuries to decompose fully. There is emerging evidence that micro/nanoplastics can enter the human body through food, water, beverages, or inhala"
2304991,ENV,0.9,keyword,MPS,"CAS-MNP: Degradation of Plastics in the Environment: Decoupling the Roles of Polymer Type, Material Attributes, and Chemical Additives","With support from the Environmental Chemical Sciences (ECS) Program of the Division of Chemistry, Weile Yan and Margaret SobkowiczKline from the University of Massachusetts Lowell will investigate the environmental degradation behavior of plastics. In particular, the causal links between polymer pro"
2343747,ENV,0.9,keyword,ENG,CAS-MNP: Discovering the mechanisms by which nanoplastics damage cell membranes,"Microplastic pollution—present on land, in waterways, and in the ocean—is the result of the environmental degradation of consumer and industrial plastic waste. Microplastics have been the subject of significant concern in recent years due to their potential incorporation into the food chain and thei"
2204145,ENV,0.9,keyword,MPS,CAS-MNP: Evaluating Degradation Products and Changes in Colloidal Properties of Microplastics During Photochemical Weathering,This award is supported by the Environmental Chemical Sciences (ECS) Program in the NSF Division of Chemistry. Professor Laodong Guo and his students in the School of Freshwater Sciences at University of Wisconsin-Milwaukee will study the weathering of microplastics / microfibers in aquatic environm
2301348,ENV,0.9,keyword,MPS,CAS-MNP: Origins of Secondary Nanoplastics and Mitigating Their Creation,"NON-TECHNICAL SUMMARY

It is well-established that plastics degrade into micro and nanoplastics. These environmental pollutants have been found at the ocean surface (e.g., the Atlantic garbage patch) and now in the deep(est) ocean. While it is commonly believed that these materials can have delete"
2404351,ENV,0.9,keyword,MPS,CAS-SC: Mechanistic Understanding of Biodechlorination-facilitated Defluorination of Polychlorofluoroalkyl Substances,"Polychlorofluoroalkyl substances (PCFAS) represent a large sub-class of emerging per- and polyfluoroalkyl substances (PFAS) widely used and detected in the environment. However, there is limited understanding of their fate and transport in the environment, molecular transformation, and mitigation st"
2305204,ENV,0.7,keyword,MPS,CAS: Autoxidation of Oxygenated Volatile Chemical Products in the Atmosphere,"With support from the Environmental Chemical Sciences Program in the Division of Chemistry, Drs. Paul Wennberg, Brian Stoltz, and John Crounse at the California Institute of Technology will study atmospheric reactions of volatile chemical products (VCPs). VCPs are oxygen-containing hydrocarbons (suc"
2304963,ENV,0.9,keyword,MPS,CAS: Fluorine Beyond PFAS: Pathways to Sustainable Fluorochemical Design Through Environmental Degradation Studies and Fluorine Mass Balances,"With support from the Environmental Chemical Sciences Program in the Division of Chemistry, William Arnold, William Pomerantz, and Sebastian Behrens at the University of Minnesota-Twin Cities will investigate the environmental presence and degradation of mass-produced chemicals, specifically pharmac"
2247729,ENV,0.9,keyword,MPS,CAS: Molecular Design of Photoactive Covalent Organic Frameworks Capable of Reductive and Oxidative Degradation of Perfluoroalkyl Substances,"With the support of the Chemical Catalysis program in the Division of Chemistry, Professors Thomas Senftle and Rafael Verduzco of Rice University are studying the development of new photocatalytic materials for treating waters contaminated with poly- and perfluoroalkyl substances (PFAS). PFAS molecu"
2216585,ENV,0.95,haiku,MPS,CAS: Nanocellulose-Enabled Nanocomposites for Sustainable Water Remediation,"PART 1: NON-TECHNICAL SUMMARY

Nanocellulose can be extracted from all lignocellulose plants (woody and non-woody) - the largest natural polymer sources on Earth. Nanocelluloses have been shown to be excellent building block materials to form low-cost and effective water purification media, such a"
2303948,ENV,0.7,keyword,MPS,"CAS: Oxidation from the Top Down and the Bottom Up by the OH Radical: Lifetimes and Fates of Important Ingredients of Pesticides, Pharmaceuticals, and Consumer Products","With support from the Environmental Chemical Sciences Program in the Division of Chemistry,  Professor Barbara Finlayson-Pitts and her team at the University of California, Irvine will study the degradation of contaminants of emerging concern in the environment.  These include a broad spectrum of hu"
2203626,ENV,0.9,keyword,MPS,CAS: Portable Absorbable Organic Fluorine Analysis for Poly- and Perfluoroalkyl Substance Guided Sampling,"With support from the Chemical Measurement and Imaging (CMI) Program in the Division of Chemistry, Charles P. Shelor and his students from the University of Texas at Arlington (UTA) intend to build a portable instrument for measuring poly- and perfluoroalkyl substances (PFAS) in the field. PFAS are "
2203624,ENV,0.95,haiku,MPS,CAS: REGENERABLE POLYMERS FOR PHOSPHATE REMOVAL AND RECOVERY FROM WASTEWATER,"With the support of the Macromolecular, Supramolecular and Nanochemistry (MSN) program in the Division of Chemistry, Professor Valerie Pierre of the University of Minnesota will be developing polymer-supported receptors that capture and release phosphate reversibly as needed for remediation and puri"
2140141,ENV,0.95,haiku,ENG,Capturing the impact of realistic multicomponent fuels in high-pressure spray combustion simulations,"Soot is one of the most harmful pollutants generated during combustion, as it is associated with cancer, lung disease, and vascular disease, and contributes to climate change. Understanding the fundamental processes that lead to soot formation in gasoline, diesel, and jet engines is necessary for re"
2431391,ENV,0.7,keyword,GEO,Civic-PG Track A: Measuring Atmospheric Variability to Manage Intra-urban Heat and Air Quality,"The National Institutes of Health note that heat and poor air quality in urban areas are the cause of significant illness and death in the US every year, with heat slated to increase dramatically in the future due to global warming. Many cities in the American southwest are already suffering from th"
2226501,ENV,0.9,keyword,ENG,Collaborative Research: A Bioinspired Approach towards Sustainable Membranes for Resilient Brine Treatment,"Many water treatment and industrial processes generate significant amounts of high-salinity brines including seawater desalination, inland brackish water desalination, and oil and gas production by fracking. The management of hazardous high-salinity brines from water desalination plants and oil/gas "
2226505,ENV,0.9,keyword,ENG,Collaborative Research: A Bioinspired Approach towards Sustainable Membranes for Resilient Brine Treatment,"Many water treatment and industrial processes generate significant amounts of high-salinity brines including seawater desalination, inland brackish water desalination, and oil and gas production by fracking. The management of hazardous high-salinity brines from water desalination plants and oil/gas "
2503644,ENV,0.9,keyword,ENG,Collaborative Research: A Bioinspired Approach towards Sustainable Membranes for Resilient Brine Treatment,"Many water treatment and industrial processes generate significant amounts of high-salinity brines including seawater desalination, inland brackish water desalination, and oil and gas production by fracking. The management of hazardous high-salinity brines from water desalination plants and oil/gas "
2343143,ENV,0.9,keyword,GEO,Collaborative Research: A novel approach to study monomethylmercury in natural phytoplankton assemblages,"Mercury (Hg) remains an important pollutant in the ocean despite international commitments to lower emissions. While all forms of mercury are toxic, monomethyl mercury (MMHg) is especially problematic because it becomes highly concentrated in fish consumed by humans. Given the health implications fo"
2343142,ENV,0.9,keyword,GEO,Collaborative Research: A novel approach to study monomethylmercury in natural phytoplankton assemblages,"Mercury (Hg) remains an important pollutant in the ocean despite international commitments to lower emissions. While all forms of mercury are toxic, monomethyl mercury (MMHg) is especially problematic because it becomes highly concentrated in fish consumed by humans. Given the health implications fo"
2203935,ENV,0.9,keyword,MPS,"Collaborative Research: CAS-MNP: Radical-induced Weathering of Micro- and Nanoplastics in Water: Impacts on Suspensions, Agglomerations, and Contaminant Adsorptions",This award from the Environmental Chemical Sciences Program in the Division of Chemistry supports Professors Julie Peller at Valparaiso University and Stephen Mezyk at California State University-Long Beach and their students. This project is exploring the formation and aging of small plastics piece
2138317,ENV,0.95,haiku,GEO,Collaborative Research: CAS-MNP: Sea ice-ocean exchange of Arctic microplastics: linking small scales to the large-scale system,"Microplastics, defined as plastic pieces smaller than 5 millimeters, are a massive litter problem in the world’s oceans. The Arctic Ocean, while remote, is not immune; recent work has found microplastics in all components of the Arctic system, including within the floating sea ice cover. While marin"
2138316,ENV,0.95,haiku,GEO,Collaborative Research: CAS-MNP: Sea ice-ocean exchange of Arctic microplastics: linking small scales to the large-scale system,"Microplastics, defined as plastic pieces smaller than 5 millimeters, are a massive litter problem in the world’s oceans. The Arctic Ocean, while remote, is not immune; recent work has found microplastics in all components of the Arctic system, including within the floating sea ice cover. While marin"
2138318,ENV,0.95,haiku,GEO,Collaborative Research: CAS-MNP: Sea ice-ocean exchange of Arctic microplastics: linking small scales to the large-scale system,"Microplastics, defined as plastic pieces smaller than 5 millimeters, are a massive litter problem in the world’s oceans. The Arctic Ocean, while remote, is not immune; recent work has found microplastics in all components of the Arctic system, including within the floating sea ice cover. While marin"
2314719,ENV,0.7,keyword,ENG,Collaborative Research: Catalyst Free Activation of Peroxydisulfate under Visible Light to Degrade Contaminants in Water: Elucidation of Kinetics and Mechanism,Organic micropollutants (OMPs) have become major threats to human and ecosystem health in the United States and worldwide. Many OMPs are not efficiently removed by conventional water treatment processes. Advanced oxidation processes (AOPs) such as the commercial UV/AOP process are increasingly being
2314720,ENV,0.7,keyword,ENG,Collaborative Research: Catalyst Free Activation of Peroxydisulfate under Visible Light to Degrade Contaminants in Water: Elucidation of Kinetics and Mechanism,Organic micropollutants (OMPs) have become major threats to human and ecosystem health in the United States and worldwide. Many OMPs are not efficiently removed by conventional water treatment processes. Advanced oxidation processes (AOPs) such as the commercial UV/AOP process are increasingly being
